       match_id               subtype    team
431        1895                  shot    9879
432        1895                  shot    9879
433        1895                  shot    9879
434        1895                header    8462
435        1896                header    8559
436        1896                  shot    8559
437        1896                  shot    8586
438        1896                  shot    8586
439        1896                header    8559
440        1897                  shot    8667
441        1897                  shot    8659
442        1897                header    8667
443        1897              backheel    8659
444        1898                header   10194
445        1899                header    8472
446        1899                  shot    8472
447        1900                  shot    9825
448        1901                  shot   10260
449        1901                  shot   10260
450        1902              freekick    8668
451        1902                  shot    8668
452        1902                 cross    8668
453        1903                  shot    8456
454        1904                header    8655
455        1904                  shot   10252
456        1904                  shot   10252
457        1904             deflected   10252
458        1905                  shot   10261
459        1905                  shot    8659
460        1905                  shot   10261
461        1905                header   10261
462        1905                  shot    8659
463        1906                  shot    8462
464        1906                  shot    8650
465        1906                header    8650
466        1906                header    8462
467        1906                  shot    8650
468        1906                header    8650
469        1909                  shot   10260
470        1909                  shot    8655
471        1909                header   10260
472        1909       direct_freekick   10260
473        1911               penalty    8650
474        1911                  shot    8456
475        1911                  shot    8650
476        1912                  shot    8455
477        1914                header   10261
478        1915                  shot    9879
479        1915                  shot    9879
480        1915  saved_back_into_play    8659
481        1916       direct_freekick    8559
482        1916                  shot    8559
483        1916                  shot    8654
484        1917              distance    8586
485        1917            loose_ball    8667
486        1917                header    8586
487        1918                  shot    8462
488        1918                 cross   10194
489        1918                header   10194
490        1918               penalty   10194
491        1919                  shot   10260
492        1919                  shot   10260
493        1919                  shot   10260
494        1919                  shot   10260
495        1921                  shot    8472
496        1921                  shot    8586
497        1922            loose_ball    8654
498        1923                  shot   10252
499        1923              distance   10252
500        1923                header   10194
501        1923                  shot   10194
502        1924              distance    8668
503        1924                header    8668
504        1924              distance    8668
505        1925             clearance    8650
506        1925                  shot    8549
507        1925                  shot    8549
508        1926                  shot    8559
509        1927                  shot    8655
510        1927                  shot    8655
511        1927                volley    8667
512        1928                  shot    8455
513        1928                  shot    8528
514        1928                header    8455
515        1929                  shot    8586
516        1929                  shot    8549
517        1929                  shot    8586
518        1929                  shot    8586
519        1929                  shot    8586
520        1929                header    8549
521        1930                  shot    9825
522        1930       direct_freekick    8659
523        1930                header    9825
524        1930                  shot    9825
525        1931                  shot    8455
526        1932                  shot   10194
527        1932              backheel    8559
528        1932                  shot   10194
529        1933                  shot    8654
